message,label
Call me immediately.,phishing
Update your personal information to avoid problems.,safe
Thank you for your help!,fraud
Click here to claim your prize!,safe
"This is a fraud attempt, click the link.",phishing
Update your personal information to avoid problems.,fraud
This is a phishing attempt. Do not click the link.,fraud
Confirm your identity by clicking here.,safe
Sensitive data has been exposed.,sexual_assault
"This is a fraud attempt, click the link.",phishing
Confirm your identity by clicking here.,phishing
"You won a lottery, provide your bank details to claim.",fraud
Thank you for your help!,fraud
Looking forward to our next conversation!,fraud
Your bank account has been compromised.,phishing
Sensitive data has been exposed.,fraud
Call me immediately.,sexual_assault
Update your personal information to avoid problems.,fraud
"You won a lottery, provide your bank details to claim.",safe
Check out this amazing deal.,phishing
Your password needs to be reset.,safe
Confirm your identity by clicking here.,fraud
Your password needs to be reset.,phishing
Looking forward to our next conversation!,fraud
Your password needs to be reset.,phishing
Update your personal information to avoid problems.,fraud
"This is a scam, do not trust this message.",sexual_assault
Update your personal information to avoid problems.,safe
Call me immediately.,safe
Call me immediately.,sexual_assault
Free gift if you respond now!,sexual_assault
Update your personal information to avoid problems.,sexual_assault
Your bank account has been compromised.,fraud
Confirm your identity by clicking here.,safe
"You won a lottery, provide your bank details to claim.",phishing
Confirm your identity by clicking here.,phishing
Sensitive data has been exposed.,fraud
Thank you for your help!,fraud
Your bank account has been compromised.,sexual_assault
"This is a scam, do not trust this message.",sexual_assault
Please provide your personal details to continue.,phishing
Sensitive data has been exposed.,fraud
Update your personal information to avoid problems.,fraud
Confirm your identity by clicking here.,safe
Free gift if you respond now!,fraud
Looking forward to our next conversation!,safe
Please provide your personal details to continue.,phishing
Your bank account has been compromised.,sexual_assault
Check out this amazing deal.,phishing
I will hurt you.,safe
Please provide your personal details to continue.,fraud
"This is a fraud attempt, click the link.",fraud
This is a friendly reminder about our meeting tomorrow.,sexual_assault
You have a new notification.,fraud
"This is a scam, do not trust this message.",phishing
Update your personal information to avoid problems.,phishing
"This is a fraud attempt, click the link.",phishing
This is a phishing attempt. Do not click the link.,phishing
This is a phishing attempt. Do not click the link.,phishing
"This is a fraud attempt, click the link.",sexual_assault
Your bank account has been compromised.,safe
Looking forward to our next conversation!,sexual_assault
This is a phishing attempt. Do not click the link.,sexual_assault
Sensitive data has been exposed.,fraud
"This is a scam, do not trust this message.",fraud
Your bank account has been compromised.,phishing
Your password needs to be reset.,sexual_assault
This is a phishing attempt. Do not click the link.,fraud
Update your personal information to avoid problems.,safe
Free gift if you respond now!,fraud
Confirm your identity by clicking here.,safe
Please provide your personal details to continue.,safe
Click here to claim your prize!,sexual_assault
Click here to claim your prize!,fraud
Check out this amazing deal.,safe
Your bank account has been compromised.,phishing
I will hurt you.,safe
"You won a lottery, provide your bank details to claim.",sexual_assault
"You won a lottery, provide your bank details to claim.",sexual_assault
"This is a fraud attempt, click the link.",phishing
Check out this amazing deal.,phishing
